ProductID,Product,Total_Orders,Units_Sold,Total_Revenue,Estimated_Gross_Profit,Margin_Pct,Estimated_Gross_Margin_Pct
1010,Curd,255,1084,344132.8,79150.54,23,23
1008,Carrot,233,941,233811.9,49100.5,21,21
1002,Apple,230,970,349184.85,48885.88,14,14
1019,Coffee,264,1090,194343.8,40812.2,21,21
1012,Cheese,226,948,272673.45,38174.28,14,14
1016,Namkeen,261,1118,129714,37617.06,29,29
1009,Milk,249,1103,305127.3,36615.28,12,12
1001,Banana,250,1064,334907.05,33490.71,10,10
1005,Tomato,264,1062,287712.75,28771.27,10,10
1015,Chocolate,249,1108,193214.3,27050,14,14
1011,Butter,242,980,204059.7,26527.76,13,13
1014,Biscuits,248,988,90061.7,20714.19,23,23
1017,Juice,273,1180,203462.4,20346.24,10,10
1018,Soft Drink,253,1025,198870.2,19887.02,10,10
1006,Onion,235,1014,215586,19402.74,9,9
1004,Mango,258,1090,70401.6,16192.37,23,23
1003,Orange,232,960,115970.3,12756.73,11,11
1020,Tea,242,978,37046.1,8891.06,24,24
1007,Potato,247,1050,63576.3,8264.92,13,13
1013,Chips,289,1199,24798.6,6199.65,25,25
