Order_Month,Total_Orders,Delivered_Orders,Total_Revenue,Units_Sold,Avg_Delivery_Minutes
2025-01-01,287,263,205477.45,1193,38.99
2025-02-01,271,257,224909.25,1224,35.74
2025-03-01,298,279,219340.9,1198,35.29
2025-04-01,241,227,192788.65,1039,37.96
2025-05-01,303,274,241579.3,1253,34.26
2025-06-01,296,269,219625.85,1189,37.04
2025-07-01,290,272,217265.75,1262,36.75
2025-08-01,285,260,211577.8,1098,36.99
2025-09-01,269,249,212724.45,1098,35.97
2025-10-01,274,253,209986.35,1119,36.27
2025-11-01,285,271,255916.8,1323,38.15
2025-12-01,285,267,225197.75,1178,35.51
2026-01-01,305,281,224241.15,1276,35.78
2026-02-01,268,246,206271.7,1116,37.28
2026-03-01,281,270,223917.55,1236,38.51
2026-04-01,278,257,206360.1,1147,35
2026-05-01,274,258,205986,1104,35.55
2026-06-01,210,198,165488.3,899,37.56
