ProductID,Product,Warehouse,CurrentStock,ReorderLevel,Capacity,Units_Sold,Total_Revenue,Inventory_Status
1013,Chips,WH-MUM,850,89,1357,1199,24798.6,Normal
1017,Juice,WH-BLR,858,80,1156,1180,203462.4,Normal
1016,Namkeen,WH-BLR,222,31,482,1118,129714,Normal
1015,Chocolate,WH-DEL,389,67,1351,1108,193214.3,Normal
1009,Milk,WH-DEL,107,30,328,1103,305127.3,Normal
1004,Mango,WH-HYD,720,98,1009,1090,70401.6,Normal
1019,Coffee,WH-MUM,981,18,1032,1090,194343.8,Normal
1010,Curd,WH-MUM,375,33,582,1084,344132.8,Normal
1001,Banana,WH-BLR,153,88,1055,1064,334907.05,Normal
1005,Tomato,WH-MUM,641,91,134,1062,287712.75,Over Capacity
1007,Potato,WH-BLR,642,17,1046,1050,63576.3,Normal
1018,Soft Drink,WH-BLR,833,65,86,1025,198870.2,Over Capacity
1006,Onion,WH-HYD,441,79,117,1014,215586,Over Capacity
1014,Biscuits,WH-DEL,988,54,315,988,90061.7,Over Capacity
1011,Butter,WH-MUM,603,62,157,980,204059.7,Over Capacity
1020,Tea,WH-MUM,32,31,652,978,37046.1,Normal
1002,Apple,WH-HYD,930,45,255,970,349184.85,Over Capacity
1003,Orange,WH-MUM,549,53,185,960,115970.3,Over Capacity
1012,Cheese,WH-HYD,260,36,234,948,272673.45,Over Capacity
1008,Carrot,WH-HYD,196,13,1228,941,233811.9,Normal
