table_name,column_name,data_type,is_nullable
Zepto_Orders,OrderID,INT64,YES
Zepto_Orders,OrderDate,DATE,YES
Zepto_Orders,CustomerID,INT64,YES
Zepto_Orders,City,STRING,YES
Zepto_Orders,ProductID,INT64,YES
Zepto_Orders,Product,STRING,YES
Zepto_Orders,Category,STRING,YES
Zepto_Orders,Quantity,INT64,YES
Zepto_Orders,UnitPrice,INT64,YES
Zepto_Orders,DiscountPct,INT64,YES
Zepto_Orders,NetSales,FLOAT64,YES
Zepto_Orders,PaymentMethod,STRING,YES
Zepto_Orders,DeliveryMinutes,INT64,YES
Zepto_Orders,OrderStatus,STRING,YES
"","","",""
Zepto_Products,ProductID,INT64,YES
Zepto_Products,Product,STRING,YES
Zepto_Products,Category,STRING,YES
Zepto_Products,UnitPrice,INT64,YES
Zepto_Products,MarginPct,FLOAT64,YES
"","","",""
Zepto_Customers,CustomerID,INT64,YES
Zepto_Customers,CustomerCode,STRING,YES
Zepto_Customers,City,STRING,YES
Zepto_Customers,LoyaltyTier,STRING,YES
"","","",""
Zepto_Inventory,ProductID,INT64,YES
Zepto_Inventory,Product,STRING,YES
Zepto_Inventory,Warehouse,STRING,YES
Zepto_Inventory,CurrentStock,INT64,YES
Zepto_Inventory,ReorderLevel,INT64,YES
Zepto_Inventory,Capacity,INT64,YES
"","","",""
